file	section	name	length_m	drop_m	gradient_pct	picked
Red_Wall_Canyon_(West_Fork).kml	5	approach to ridge ascent - 2.2 mi	3477	-309.6	-8.9	0
Red_Wall_Canyon_(West_Fork).kml	6	3-17-13 - Red Wall Cyn W Fork - 0.6 mi	1018	317.0	31.1	0
Rimrock_Canyon.kml	0	approach	755	5.9	0.8	0
Rimrock_Canyon.kml	1	descent	230	83.0	36.2	1
Rimrock_Canyon.kml	2	Rimrock Shuttle	1664	118.1	7.1	0
Rimrock_Canyon.kml	3	return	202	29.8	14.7	0
Riviere_Noire.kml	0	Approach	1651			0
Riviere_Noire.kml	1	Descent	355			0
Riviere_Noire.kml	2	Exit	1285			0
Roaring_Creek_(Upper).kml	0	Roaring Creek	3073	-338.6	-11.0	0
Robbers_Roost_Canyon.kml	0	Section 1	4064	-511.8	-12.6	0
Robbers_Roost_Canyon.kml	1	Section 2	747	332.9	44.6	1
Robbers_Roost_Canyon.kml	2	Section 3	2117	174.9	8.3	0
Rock_Creek_(California_Sierras).kml	0	Approach2	4906	-107.5	-2.2	0
Rock_Creek_(California_Sierras).kml	1	Bushwack2	1174	201.4	17.2	0
Rock_Creek_(California_Sierras).kml	2	Descent2	911	81.5	8.9	0
Rock_Creek_(California_Sierras).kml	3	Approach	5480	-644.3	-11.8	0
Rock_Creek_(California_Sierras).kml	4	Descent	3413	456.9	13.4	1
Rock_Creek_(California_Sierras).kml	5	Bushwack	549	195.1	35.5	0
Rose_Valley_Falls.kml	0	Approach	5150	-462.3	-9.0	0
Rose_Valley_Falls.kml	1	Descent	1136	422.6	37.2	1
Rose_Valley_Falls.kml	2	Exit	586	43.8	7.5	0
Rough_Canyon_(Colorado).kml	0	Rough Canyon	3806	-201.7	-5.3	0
Rough_Canyon_(Colorado).kml	1	return	3013	-202.5	-6.7	0
Rubio_Canyon.kml	0	Alt Exit	1516	4.8	0.3	0
Rubio_Canyon.kml	1	Alt View	60	-2.3	-3.8	0
Rubio_Canyon.kml	2	Approach Echo Brennen	4274	-423.1	-9.9	0
Rubio_Canyon.kml	3	Approach Echo Brennen Connector	673	-177.5	-26.4	0
Rubio_Canyon.kml	4	Approach Echo Brennen Lowe Railway	1806	-374.5	-20.7	0
Rubio_Canyon.kml	5	Approach Shortcut	1659	-262.8	-15.8	0
Rubio_Canyon.kml	6	Descent East Fork Rubio	1361	561.5	41.3	1
Rubio_Canyon.kml	7	Descent Echo Mtn	962	224.2	23.3	0
Rubio_Canyon.kml	8	Descent Rubio	400	175.4	43.9	0
Rubio_Canyon.kml	9	Exit	1046	84.3	8.1	0
Rubio_Canyon.kml	10	Shortcut drop in	37	37.7	101.1	0
Rubio_Canyon.kml	11	slide	52	-8.9	-17.4	0
Rubio_Canyon.kml	12	Approach direct ridge to Leontine	127	-39.2	-30.8	0
Rubio_Canyon.kml	13	Wrong Way	31	-6.0	-19.4	0
Ruby_Canyon.kml	0	Larp Canyon	1270	372.9	29.4	1
Ruby_Canyon.kml	1	Oak Flat Approach (approx.)	2057	-288.4	-14.0	0
Ruby_Canyon.kml	2	Ruby Canyon	1065	286.6	26.9	0
Ruby_Canyon.kml	3	Upper Ruby Canyon	1546	78.9	5.1	0
Ruby_Canyon.kml	4	Ruby canyon approach (Approx.)	6667	-256.7	-3.9	0
Ruby_Canyon.kml	5	Ruby Hike Out	18662	57.4	0.3	0
